"ID","regime","jour","poids"
1,"A",0,42
2,"A",0,40
3,"A",0,43
4,"A",0,42
5,"A",0,41
6,"A",0,41
7,"A",0,41
8,"A",0,42
9,"A",0,42
10,"A",0,41
11,"A",0,43
12,"A",0,41
13,"A",0,41
14,"A",0,41
15,"A",0,41
16,"A",0,41
17,"A",0,42
18,"A",0,39
19,"A",0,43
20,"A",0,41
21,"B",0,40
22,"B",0,41
23,"B",0,43
24,"B",0,42
25,"B",0,40
26,"B",0,42
27,"B",0,39
28,"B",0,39
29,"B",0,39
30,"B",0,42
31,"C",0,42
32,"C",0,41
33,"C",0,39
34,"C",0,41
35,"C",0,41
36,"C",0,39
37,"C",0,41
38,"C",0,41
39,"C",0,42
40,"C",0,41
41,"D",0,42
42,"D",0,42
43,"D",0,42
44,"D",0,42
45,"D",0,41
46,"D",0,40
47,"D",0,41
48,"D",0,39
49,"D",0,40
50,"D",0,41
1,"A",2,51
2,"A",2,49
3,"A",2,39
4,"A",2,49
5,"A",2,42
6,"A",2,49
7,"A",2,49
8,"A",2,50
9,"A",2,51
10,"A",2,44
11,"A",2,51
12,"A",2,49
13,"A",2,48
14,"A",2,49
15,"A",2,49
16,"A",2,45
17,"A",2,51
18,"A",2,35
19,"A",2,48
20,"A",2,47
21,"B",2,50
22,"B",2,55
23,"B",2,52
24,"B",2,52
25,"B",2,49
26,"B",2,48
27,"B",2,46
28,"B",2,46
29,"B",2,48
30,"B",2,48
31,"C",2,53
32,"C",2,49
33,"C",2,50
34,"C",2,49
35,"C",2,53
36,"C",2,48
37,"C",2,48
38,"C",2,49
39,"C",2,50
40,"C",2,55
41,"D",2,51
42,"D",2,49
43,"D",2,55
44,"D",2,51
45,"D",2,50
46,"D",2,52
47,"D",2,53
48,"D",2,50
49,"D",2,53
50,"D",2,54
1,"A",4,59
2,"A",4,58
3,"A",4,55
4,"A",4,56
5,"A",4,48
6,"A",4,59
7,"A",4,57
8,"A",4,61
9,"A",4,59
10,"A",4,52
11,"A",4,63
12,"A",4,56
13,"A",4,53
14,"A",4,62
15,"A",4,56
16,"A",4,49
17,"A",4,61
19,"A",4,55
20,"A",4,54
21,"B",4,62
22,"B",4,64
23,"B",4,61
24,"B",4,58
25,"B",4,62
26,"B",4,57
27,"B",4,58
28,"B",4,58
29,"B",4,59
30,"B",4,59
31,"C",4,62
32,"C",4,65
33,"C",4,63
34,"C",4,63
35,"C",4,64
36,"C",4,61
37,"C",4,56
38,"C",4,61
39,"C",4,61
40,"C",4,66
41,"D",4,66
42,"D",4,63
43,"D",4,69
44,"D",4,65
45,"D",4,61
46,"D",4,62
47,"D",4,66
48,"D",4,62
49,"D",4,64
50,"D",4,67
1,"A",6,64
2,"A",6,72
3,"A",6,67
4,"A",6,67
5,"A",6,60
6,"A",6,74
7,"A",6,71
8,"A",6,71
9,"A",6,68
10,"A",6,63
11,"A",6,84
12,"A",6,62
13,"A",6,60
14,"A",6,79
15,"A",6,64
16,"A",6,51
17,"A",6,72
19,"A",6,62
20,"A",6,58
21,"B",6,86
22,"B",6,77
23,"B",6,73
24,"B",6,74
25,"B",6,78
26,"B",6,74
27,"B",6,73
28,"B",6,73
29,"B",6,74
30,"B",6,72
31,"C",6,73
32,"C",6,82
33,"C",6,77
34,"C",6,85
35,"C",6,87
36,"C",6,76
37,"C",6,68
38,"C",6,74
39,"C",6,78
40,"C",6,79
41,"D",6,85
42,"D",6,84
43,"D",6,96
44,"D",6,86
45,"D",6,78
46,"D",6,82
47,"D",6,79
48,"D",6,80
49,"D",6,85
50,"D",6,84
1,"A",8,76
2,"A",8,84
3,"A",8,84
4,"A",8,74
5,"A",8,79
6,"A",8,97
7,"A",8,89
8,"A",8,84
9,"A",8,85
10,"A",8,74
11,"A",8,112
12,"A",8,72
13,"A",8,65
14,"A",8,101
15,"A",8,68
16,"A",8,57
17,"A",8,83
19,"A",8,65
20,"A",8,65
21,"B",8,125
22,"B",8,90
23,"B",8,90
24,"B",8,66
25,"B",8,102
26,"B",8,93
27,"B",8,87
28,"B",8,92
29,"B",8,87
30,"B",8,85
31,"C",8,85
32,"C",8,107
33,"C",8,96
34,"C",8,107
35,"C",8,123
36,"C",8,98
37,"C",8,80
38,"C",8,98
39,"C",8,89
40,"C",8,101
41,"D",8,103
42,"D",8,103
43,"D",8,131
44,"D",8,103
45,"D",8,98
46,"D",8,101
47,"D",8,100
48,"D",8,104
49,"D",8,108
50,"D",8,105
1,"A",10,93
2,"A",10,103
3,"A",10,99
4,"A",10,87
5,"A",10,106
6,"A",10,124
7,"A",10,112
8,"A",10,93
9,"A",10,96
10,"A",10,81
11,"A",10,139
12,"A",10,88
13,"A",10,67
14,"A",10,128
15,"A",10,68
16,"A",10,51
17,"A",10,89
19,"A",10,71
20,"A",10,73
21,"B",10,163
22,"B",10,95
23,"B",10,103
24,"B",10,68
25,"B",10,124
26,"B",10,114
27,"B",10,100
28,"B",10,114
29,"B",10,106
30,"B",10,98
31,"C",10,102
32,"C",10,129
33,"C",10,111
34,"C",10,134
35,"C",10,158
36,"C",10,116
37,"C",10,83
38,"C",10,109
39,"C",10,109
40,"C",10,120
41,"D",10,124
42,"D",10,126
43,"D",10,157
44,"D",10,118
45,"D",10,117
46,"D",10,120
47,"D",10,123
48,"D",10,125
49,"D",10,128
50,"D",10,122
1,"A",12,106
2,"A",12,122
3,"A",12,115
4,"A",12,102
5,"A",12,141
6,"A",12,141
7,"A",12,146
8,"A",12,110
9,"A",12,90
10,"A",12,89
11,"A",12,168
12,"A",12,119
13,"A",12,71
14,"A",12,164
15,"A",12,67
16,"A",12,54
17,"A",12,98
19,"A",12,82
20,"A",12,77
21,"B",12,217
22,"B",12,108
23,"B",12,127
24,"B",12,70
25,"B",12,146
26,"B",12,136
27,"B",12,115
28,"B",12,145
29,"B",12,134
30,"B",12,115
31,"C",12,123
32,"C",12,159
33,"C",12,137
34,"C",12,164
35,"C",12,201
36,"C",12,145
37,"C",12,103
38,"C",12,128
39,"C",12,130
40,"C",12,154
41,"D",12,155
42,"D",12,160
43,"D",12,184
44,"D",12,127
45,"D",12,135
46,"D",12,144
47,"D",12,148
48,"D",12,154
49,"D",12,152
50,"D",12,155
1,"A",14,125
2,"A",14,138
3,"A",14,138
4,"A",14,108
5,"A",14,164
6,"A",14,148
7,"A",14,174
8,"A",14,116
9,"A",14,92
10,"A",14,96
11,"A",14,177
12,"A",14,135
13,"A",14,70
14,"A",14,192
15,"A",14,68
17,"A",14,103
19,"A",14,88
20,"A",14,89
21,"B",14,240
22,"B",14,111
23,"B",14,135
24,"B",14,71
25,"B",14,164
26,"B",14,147
27,"B",14,123
28,"B",14,156
29,"B",14,150
30,"B",14,122
31,"C",14,138
32,"C",14,179
33,"C",14,144
34,"C",14,186
35,"C",14,238
36,"C",14,166
37,"C",14,112
38,"C",14,154
39,"C",14,146
40,"C",14,182
41,"D",14,153
42,"D",14,174
43,"D",14,188
44,"D",14,138
45,"D",14,141
46,"D",14,156
47,"D",14,157
48,"D",14,170
49,"D",14,166
50,"D",14,175
1,"A",16,149
2,"A",16,162
3,"A",16,163
4,"A",16,136
5,"A",16,197
6,"A",16,155
7,"A",16,218
8,"A",16,126
9,"A",16,93
10,"A",16,101
11,"A",16,182
12,"A",16,162
13,"A",16,71
14,"A",16,227
17,"A",16,113
19,"A",16,106
20,"A",16,98
21,"B",16,275
22,"B",16,131
23,"B",16,145
24,"B",16,72
25,"B",16,197
26,"B",16,169
27,"B",16,144
28,"B",16,184
29,"B",16,187
30,"B",16,143
31,"C",16,170
32,"C",16,221
33,"C",16,151
34,"C",16,235
35,"C",16,287
36,"C",16,198
37,"C",16,135
38,"C",16,192
39,"C",16,170
40,"C",16,215
41,"D",16,175
42,"D",16,204
43,"D",16,197
44,"D",16,145
45,"D",16,147
46,"D",16,173
47,"D",16,168
48,"D",16,222
49,"D",16,184
50,"D",16,205
1,"A",18,171
2,"A",18,187
3,"A",18,187
4,"A",18,154
5,"A",18,199
6,"A",18,160
7,"A",18,250
8,"A",18,134
9,"A",18,100
10,"A",18,112
11,"A",18,184
12,"A",18,185
13,"A",18,81
14,"A",18,248
17,"A",18,123
19,"A",18,120
20,"A",18,107
21,"B",18,307
22,"B",18,148
23,"B",18,163
24,"B",18,72
25,"B",18,231
26,"B",18,205
27,"B",18,163
28,"B",18,207
29,"B",18,230
30,"B",18,151
31,"C",18,204
32,"C",18,263
33,"C",18,146
34,"C",18,294
35,"C",18,332
36,"C",18,227
37,"C",18,157
38,"C",18,232
39,"C",18,214
40,"C",18,262
41,"D",18,184
42,"D",18,234
43,"D",18,198
44,"D",18,146
45,"D",18,174
46,"D",18,210
47,"D",18,185
48,"D",18,261
49,"D",18,203
50,"D",18,234
1,"A",20,199
2,"A",20,209
3,"A",20,198
4,"A",20,160
5,"A",20,220
6,"A",20,160
7,"A",20,288
8,"A",20,125
9,"A",20,100
10,"A",20,120
11,"A",20,181
12,"A",20,195
13,"A",20,91
14,"A",20,259
17,"A",20,133
19,"A",20,144
20,"A",20,115
21,"B",20,318
22,"B",20,164
23,"B",20,170
24,"B",20,76
25,"B",20,259
26,"B",20,236
27,"B",20,185
28,"B",20,212
29,"B",20,279
30,"B",20,157
31,"C",20,235
32,"C",20,291
33,"C",20,156
34,"C",20,327
35,"C",20,361
36,"C",20,225
37,"C",20,169
38,"C",20,280
39,"C",20,250
40,"C",20,295
41,"D",20,199
42,"D",20,269
43,"D",20,199
45,"D",20,197
46,"D",20,231
47,"D",20,210
48,"D",20,303
49,"D",20,233
50,"D",20,264
1,"A",21,205
2,"A",21,215
3,"A",21,202
4,"A",21,157
5,"A",21,223
6,"A",21,157
7,"A",21,305
9,"A",21,98
10,"A",21,124
11,"A",21,175
12,"A",21,205
13,"A",21,96
14,"A",21,266
17,"A",21,142
19,"A",21,157
20,"A",21,117
21,"B",21,331
22,"B",21,167
23,"B",21,175
24,"B",21,74
25,"B",21,265
26,"B",21,251
27,"B",21,192
28,"B",21,233
29,"B",21,309
30,"B",21,150
31,"C",21,256
32,"C",21,305
33,"C",21,147
34,"C",21,341
35,"C",21,373
36,"C",21,220
37,"C",21,178
38,"C",21,290
39,"C",21,272
40,"C",21,321
41,"D",21,204
42,"D",21,281
43,"D",21,200
45,"D",21,196
46,"D",21,238
47,"D",21,205
48,"D",21,322
49,"D",21,237
50,"D",21,264
